   1.2682747754   -2.3121599631   -0.4313290633
   1.4885517057   -2.3738786645   -0.4313290633
   1.7151809934   -2.4050281431   -0.4313290633
   1.9439409639   -2.4050281431   -0.4313290633
   2.1705702517   -2.3738786645   -0.4313290633
   2.3908471819   -2.3121599631   -0.4313290633
   2.6006684122   -2.2210217415   -0.4313290633
   2.7961253699   -2.1021617325   -0.4313290633
   2.9735770619   -1.9577940729   -0.4313290633
   3.1297178988   -1.7906080593   -0.4313290633
   3.2616392723   -1.6037180507   -0.4313290633
   3.3668837367   -1.4006054544   -0.4313290633
   3.4434907869   -1.1850538736   -0.4313290633
   3.4900333785   -0.9610786266   -0.4313290633
   3.5056445109   -0.7328519485   -0.6606235722
   3.4900333785   -0.5046252703   -0.6606235722
   3.4434907869   -0.2806500233   -0.6606235722
   3.3668837367   -0.0650984425   -0.6606235722
   1.0584535452   -2.2210217415   -0.6606235722
   1.2682747754   -2.3121599631   -0.6606235722
   1.4885517057   -2.3738786645   -0.6606235722
   1.7151809934   -2.4050281431   -0.6606235722
   1.9439409639   -2.4050281431   -0.6606235722
   2.1705702517   -2.3738786645   -0.6606235722
   2.3908471819   -2.3121599631   -0.6606235722
   2.6006684122   -2.2210217415   -0.6606235722
   2.7961253699   -2.1021617325   -0.6606235722
   2.9735770619   -1.9577940729   -0.6606235722
   3.1297178988   -1.7906080593   -0.6606235722
   3.2616392723   -1.6037180507   -0.6606235722
   3.3668837367   -1.4006054544   -0.6606235722
   3.4434907869   -1.1850538736   -0.6606235722
   3.4900333785   -0.9610786266   -0.6606235722
   3.4744222460   -0.7328519485   -0.8877824197
   3.4591019194   -0.5088767015   -0.8877824197
   3.4134263283   -0.2890736895   -0.8877824197
   3.3382463225   -0.0775374269   -0.8877824197
   3.2349623633    0.1217915661   -0.8877824197
   1.0728178177   -2.1932999540   -0.8877824197
   1.2787304754   -2.2827404429   -0.8877824197
   1.4949040632   -2.3433094417   -0.8877824197
   1.7173116761   -2.3738786645   -0.8877824197
   1.9418102812   -2.3738786645   -0.8877824197
   2.1642178941   -2.3433094417   -0.8877824197
   2.3803914819   -2.2827404429   -0.8877824197
   2.5863041397   -2.1932999540   -0.8877824197
